B1,B2,B3,B4,Label
-81.33,-71.33,-82.75,-86.67,Empty
-81.33,-71.33,-82,-86.67,Empty
-81.33,-72,-82,-89.5,Empty
-81,-72,-81.67,-89.5,Empty
-81,-76.5,-81.67,-80,Empty
-84,-76.5,-80,-80,Empty
-84,-77,-80,-84.78788429,Empty
-87,-77,-78.67,-84.78788429,Empty
-87,-78,-78.67,-84.78788429,Empty
-87,-78,-77,-84.78788429,Empty
-88.33,-81,-77,-84.78788429,Empty
-88.33,-81,-79.67,-84.78788429,Empty
-90.5,-79.25,-79.67,-84.78788429,Empty
-91.67,-79.25,-82.67,-84.78788429,Empty
-92,-79.67,-82.67,-82,Empty
-93.67,-79.67,-85.33,-82,Empty
-90.5,-78.33,-85.33,-82,Empty
-90.5,-78.33,-84.5,-82,Empty
-88.25,-72,-84.5,-82,Empty
-88.25,-72,-83.75,-82,Empty
-84.25,-71,-83.75,-82,Empty
-84.25,-71,-83,-82,Empty
-81.33,-78.33,-83,-84.78788429,Empty
-81.33,-78.33,-81.67,-80,Empty
-83.33,-80.33,-81.67,-80,Empty
-83.33,-80.33,-80,-87.5,Empty
-84,-85,-80,-87.5,Empty
-84,-85,-78.33,-87.5,Empty
-86.5,-82.67,-78.33,-87.5,Empty
-86.5,-82.67,-78.5,-89.67,Empty
-86.67,-76.67,-78.5,-89.67,Empty
-86.67,-76.67,-79,-94.5,Empty
-88,-81.67,-79,-94.5,Empty
-88,-81.67,-81,-87.5,Empty
-88,-81.67,-81,-87.5,Empty
-88,-81.67,-83,-85.33,Empty
-89.33,-79.33,-83,-85.33,Empty
-89.33,-79.33,-84.33,-81,Empty
-87.67,-78,-84.33,-81,Empty
-87.67,-78,-83.67,-80.75,Empty
-84.33,-70.67,-83.67,-80.75,Empty
-84.33,-70.67,-82.33,-80.25,Empty
-83.75,-70.67,-82.33,-80.25,Empty
-83.75,-70.67,-81,-80,Empty
-81.67,-72.67,-81,-80,Empty
-81.67,-72.67,-81.25,-79.67,Empty
-83,-74.67,-81.25,-79.67,Empty
-83,-74.67,-80.25,-79.5,Empty
-84.67,-77,-80.25,-79.5,Empty
-84.67,-77,-79.25,-89,Empty
-86,-77,-79.25,-89,Empty
-86,-77,-78.25,-98,Empty
-87.25,-81,-78.25,-98,Empty
-87.25,-81,-79.25,-98,Empty
-88.75,-85,-79.25,-98,Empty
-88.75,-85,-81.25,-89.5,Empty
-89.67,-89.33,-81.25,-89.5,Empty
-89.67,-89.33,-83.25,-81,Empty
-88.33,-84.75,-83.25,-81,Empty
-88.33,-84.75,-84.25,-81,Empty
-85,-80,-84.25,-81,Empty
-85,-80,-83,-80.75,Empty
-81.67,-75.75,-83,-80.75,Empty
-81.67,-75.75,-82.25,-80.5,Empty
-81.67,-71,-82.25,-80.5,Empty
-81.67,-71,-81.33,-80.25,Empty
-83,-74.33,-81.33,-80.25,Empty
-83,-74.33,-80,-80,Empty
-85,-76.67,-80,-80,Empty
-85,-76.67,-83,-80,Empty
-86.67,-78.33,-83,-80,Empty
-86.67,-78.33,-81.33,-80,Empty
-86.75,-77.75,-81.33,-80,Empty
-86.75,-77.75,-80.5,-80,Empty
-88,-76.25,-80.5,-80,Empty
-88,-76.25,-82.5,-84.78788429,Empty
-89.25,-75.75,-82.5,-84.78788429,Empty
-89.25,-75.75,-81.25,-84.78788429,Empty
-90,-75.25,-81.25,-84.78788429,Empty
-90,-75.25,-83.5,-81,Empty
-91.5,-75,-83.5,-81,Empty
-91.5,-75,-85.33,-81,Empty
-92,-73.67,-85.33,-81,Empty
-92,-73.67,-84.33,-80.67,Empty
-82,-72.33,-84.33,-80.67,Empty
-82,-72.33,-83,-80.25,Empty
-84,-73.33,-83,-80.25,Empty
-84,-73.33,-81.67,-80,Empty
-85.33,-74.25,-81.67,-80,Empty
-85.33,-74.25,-80.5,-79.75,Empty
-85.33,-76,-80.5,-79.75,Empty
-85.33,-76,-83,-79.67,Empty
-87.33,-77.5,-83,-79.67,Empty
-87.33,-77.5,-82,-80,Empty
-88.67,-77,-82,-80,Empty
-88.67,-77,-80.75,-88.5,Empty
-89.33,-80.25,-80.75,-88.5,Empty
-89.33,-80.25,-83,-89,Empty
-90.5,-83.75,-83,-89,Empty
-90.5,-83.75,-81.25,-86.67,Empty
-92.75,-86,-81.25,-86.67,Empty
-92.75,-86,-86.75,-86.67,Empty
-93.67,-92.33,-86.75,-86.67,Empty
-93.67,-92.33,-90,-81.67,Empty
-90.67,-86,-90,-81.67,Empty
-90.67,-86,-88.67,-81.33,Empty
-87,-79,-88.67,-81.33,Empty
-87,-79,-87.67,-80.67,Empty
-84,-78.5,-87.67,-80.67,Empty
-84,-78.5,-81.67,-80.5,Empty
-84,-74,-81.67,-80.5,Empty
-84,-74,-80.5,-84.5,Empty
-86,-75.5,-80.5,-84.5,Empty
-86,-75.5,-80,-86,Empty
-87.67,-76.5,-80,-86,Empty
-87.67,-76.5,-79,-89,Empty
-88,-76,-79,-89,Empty
-88,-76,-80,-98,Empty
-89,-75.5,-80,-98,Empty
-89,-75.5,-84.5,-82,Empty
-89.67,-79.5,-84.5,-82,Empty
-89.67,-79.5,-85,-81,Empty
-87.33,-78.5,-85,-81,Empty
-87.33,-78.5,-85,-81,Empty
-85,-77.5,-85,-81,Empty
-85,-77.5,-84.5,-80.5,Empty
-81.67,-76.25,-84.5,-80.5,Empty
-81.67,-76.25,-83.5,-80,Empty
-81.75,-70.67,-83.5,-80,Empty
-81.75,-70.67,-82.25,-80,Empty
-82,-70.5,-82.25,-80,Empty
-82,-77.67,-80.25,-79.75,Empty
-83.33,-81,-80.25,-79.75,Empty
-83.33,-80,-79.25,-80,Empty
-85.33,-85,-79.25,-80,Empty
-85.33,-82.33,-82.25,-85.33,Empty
-89,-82.33,-82.25,-85.33,Empty
-89,-80.5,-81.5,-88,Empty
-90,-80.5,-81.5,-88,Empty
-90,-76.25,-87,-96.5,Empty
-91.33,-76.25,-87,-96.5,Empty
-91.33,-75.5,-90.25,-91.67,Empty
-93,-75.5,-90.25,-91.67,Empty
-93,-75.25,-88.25,-87,Empty
-97,-75.25,-88.25,-87,Empty
-97,-75.33,-91.67,-85.5,Empty
-91,-75.33,-91.67,-85.5,Empty
-91,-74,-85.67,-81.25,Empty
-87.67,-74,-85.67,-81.25,Empty
-87.67,-72.67,-83,-80.75,Empty
-87.25,-72.67,-83,-80.75,Empty
-87.25,-73,-81.5,-80.25,Empty
-83.5,-73,-81.33,-80.25,Empty
-83.5,-74.75,-81.33,-80,Empty
-84.75,-74.75,-80.5,-80,Empty
-84.75,-76.25,-80.33,-84,Empty
-86,-76.25,-79.75,-84,Empty
-86,-77.75,-79,-85.33,Empty
-87.67,-77.75,-78.5,-85.33,Empty
-87.67,-77.25,-78.5,-88,Empty
-89,-77.25,-77.5,-88,Empty
-89,-76,-77.5,-88.5,Empty
-90.5,-76,-79.5,-88.5,Empty
-90.5,-75.5,-79.5,-81.5,Empty
-87.67,-75.5,-81.25,-81.5,Empty
-87.67,-73.75,-81.25,-81.33,Empty
-84.33,-73.75,-83.5,-81.33,Empty
-84.33,-72.75,-83.5,-81.5,Empty
-81.33,-72.75,-85.67,-81.5,Empty
-81.33,-71.75,-85.67,-81.25,Empty
-81.5,-71.75,-84,-81.25,Empty
-81.5,-70.75,-84,-80.75,Empty
-82.5,-70.75,-83,-80.75,Empty
-82.5,-76,-83,-80.5,Empty
-84.25,-76,-81.33,-80.5,Empty
-84.25,-77.5,-81.33,-84.5,Empty
-85.75,-77.5,-80.5,-84.5,Empty
-85.75,-80,-80.5,-87.75,Empty
-88.5,-80,-79.5,-87.75,Empty
-88.5,-81.25,-79.5,-90.33,Empty
-89.75,-81.25,-78.25,-90.33,Empty
-89.75,-77.25,-78.25,-95.5,Empty
-91.25,-77.25,-79.25,-95.5,Empty
-91.25,-77,-79.25,-87,Empty
-92.67,-77,-81.25,-87,Empty
-92.67,-75.25,-81.25,-81,Empty
-92.5,-75.25,-83.5,-81,Empty
-92.5,-74,-83.5,-81,Empty
-94,-74,-85.75,-81,Empty
-94,-73.67,-85.75,-80.75,Empty
-89.20436858,-73.67,-84.75,-80.75,Empty
-89.20436858,-72,-84.75,-80.5,Empty
-87,-72,-83.75,-80.5,Empty
-87,-72.67,-83.75,-80.25,Empty
-87,-72.67,-82.5,-80.25,Empty
-87,-74.67,-82.5,-80.25,Empty
-87,-74.67,-80.25,-80.25,Empty
-87,-75.5,-80.25,-84.25,Empty
-87,-75.5,-79.25,-84.25,Empty
-87,-77,-79.25,-85.67,Empty
-87,-77,-78.25,-85.67,Empty
-89,-77,-78.25,-88.5,Empty
-89.67,-77,-77.5,-88.5,Empty
-90,-76.75,-77.5,-96,Empty
-90,-76.75,-79,-96,Empty
-90.75,-76.25,-79,-81,Empty
-90.75,-76.25,-81,-81,Empty
-92,-74.75,-81,-81.5,Empty
-92,-74.75,-82.75,-81.5,Empty
-87.67,-73.5,-82.75,-81.5,Empty
-87.67,-73.5,-83.75,-81.5,Empty
-84.33,-72.25,-83.75,-81.33,Empty
-84.33,-72.25,-83.25,-81.33,Empty
-82,-71,-83.25,-81,Empty
-82,-71,-82.25,-81,Empty
-83,-72.75,-82.25,-80.33,Empty
-83,-72.75,-81.5,-80.33,Empty
-84.25,-78.75,-81.5,-80.25,Empty
-84.25,-78.75,-80.25,-80.25,Empty
-85.5,-80.25,-80.25,-84.25,Empty
-85.5,-80.25,-79.25,-84.25,Empty
-86.5,-81.75,-79.25,-89,Empty
-86.5,-81.75,-82.5,-89,Empty
-88,-81,-82.5,-92.25,Empty
-88,-81,-83.5,-92.25,Empty
-89,-76,-83.5,-96.75,Empty
-89,-76,-85.75,-96.75,Empty
-90,-75.5,-85.75,-93,Empty
-90,-75.5,-87.75,-93,Empty
-88.33,-74,-87.75,-88.5,Empty
-88.33,-74,-85.67,-88.5,Empty
-86.5,-73.25,-85.67,-87,Empty
-86.5,-73.25,-84,-87,Empty
-82,-72.25,-84,-81.33,Empty
-82,-72.25,-82.67,-81.33,Empty
-81.67,-71,-82.67,-80.67,Empty
-81.67,-71,-81.33,-80.67,Empty
-83,-72.5,-81.33,-80.5,Empty
-83,-72.5,-80.25,-80.33,Empty
-84,-74,-80.25,-80.33,Empty
-84,-74,-82.75,-80.33,Empty
-84.67,-75,-82.75,-80,Empty
-84.67,-75,-81.5,-85.67,Empty
-86.67,-77,-81.5,-88.5,Empty
-86.67,-77,-80.75,-88.5,Empty
-88.33,-76.67,-80.75,-88.5,Empty
-88.33,-76.67,-82.75,-97,Empty
-89.67,-75.67,-82.75,-97,Empty
-89.67,-75.67,-81.5,-89.5,Empty
-90,-74.5,-81.5,-89.5,Empty
-90,-74.5,-83.5,-82,Empty
-92.5,-73,-83.5,-82,Empty
-92.5,-73,-84.5,-82,Empty
-93,-72,-84.5,-82,Empty
-93,-72,-83.75,-81.75,Empty
-89.67,-71,-83.75,-81.75,Empty
-89.67,-71,-82.75,-81.25,Empty
-87,-72.75,-82.75,-81.25,Empty
-87,-72.75,-82,-81,Empty
-83.33,-74.75,-82,-81,Empty
-83.33,-74.75,-80.33,-80.5,Empty
-84.25,-76,-80.33,-80.5,Empty
-84.25,-76,-78.67,-84.25,Empty
-85.33,-77,-78.67,-84.25,Empty
-85.33,-77,-77,-85.67,Empty
-88,-76.25,-77,-85.67,Empty
-88,-76.25,-77,-88,Empty
-89.67,-75.75,-77,-88,Empty
-89.67,-75.75,-79.25,-96,Empty
-91.33,-75.5,-79.25,-96,Empty
-91.33,-75.5,-81.5,-81,Empty
-91.25,-74.5,-81.5,-81,Empty
-91.25,-74.5,-87.25,-81,Empty
-89,-73.5,-87.25,-81,Empty
-89,-73.5,-90.67,-81,Empty
-86.75,-73,-90.67,-81,Empty
-86.75,-73,-89.33,-81,Empty
-84,-73.25,-89.33,-81,Empty
-84,-73.25,-88,-80.67,Empty
-83.25,-74.75,-88,-80.67,Empty
-83.25,-74.75,-82.33,-80.33,Empty
-83.67,-76.25,-82.33,-80.33,Empty
-83.67,-76.25,-81,-80,Empty
-85.33,-77,-81,-80,Empty
-85.33,-77,-79.75,-80,Empty
-87,-76.5,-79.75,-80,Empty
-87,-76.5,-78.5,-80,Empty
-89.33,-75.25,-78.5,-80,Empty
-89.33,-75.25,-77,-80,Empty
-89.75,-74.75,-77,-80,Empty
-89.75,-74.75,-79,-82,Empty
-90.5,-73,-79,-82,Empty
-90.5,-73,-81.25,-81.5,Empty
-89.5,-71.75,-81.25,-81.5,Empty
-89.5,-71.75,-83.5,-81.33,Empty
-86.25,-71.75,-83.5,-81.33,Empty
-86.25,-71.75,-84.5,-81.25,Empty
-84.67,-70.75,-84.5,-81.25,Empty
-84.67,-70.75,-83.75,-80.75,Empty
-81.67,-72.5,-83.75,-80.75,Empty
-81.67,-72.5,-82.75,-80.5,Empty
-83.33,-74.25,-82.75,-80.5,Empty
-83.33,-74.25,-80.5,-80.25,Empty
-84.67,-75.5,-80.5,-80.25,Empty
-84.67,-75.5,-79.5,-80,Empty
-85.25,-76.75,-79.5,-80,Empty
-85.25,-76.75,-78.25,-85.67,Empty
-87.75,-76.25,-78.25,-85.67,Empty
-87.75,-76.25,-77.25,-91.67,Empty
-89,-75.5,-77.25,-91.67,Empty
-89,-75.5,-79.5,-97.5,Empty
-90.5,-75.25,-79.5,-97.5,Empty
-90.5,-75.25,-81.5,-92,Empty
-91.25,-73.75,-81.5,-92,Empty
-91.25,-73.75,-83.5,-86.67,Empty
-88.75,-72.75,-83.5,-86.67,Empty
-88.75,-72.75,-85.25,-81,Empty
-87.67,-72.25,-85.25,-81,Empty
-87.67,-72.25,-85,-80.5,Empty
-84.33,-71,-85,-80.5,Empty
-84.33,-70.75,-85,-80.25,Empty
-83.33,-71,-85,-80.25,Empty
-83.33,-72.25,-83,-80,Empty
-85.33,-72.67,-83,-80,Empty
-85.33,-73.75,-81.5,-79.5,Empty
-85.5,-74.33,-81.5,-79.5,Empty
-85.5,-75,-80.33,-80,Empty
-87,-75,-80.33,-80,Empty
-87,-76.5,-84,-96,Empty
-88,-76.5,-84,-96,Empty
-88,-76,-83,-96,Empty
-89.25,-76,-83,-96,Empty
-89.25,-75.5,-83.75,-88.5,Empty
-91,-75.5,-83.75,-88.5,Empty
-91,-75.25,-85.75,-86,Empty
-89.25,-75.25,-85.75,-86,Empty
-89.25,-73.75,-83.5,-81,Empty
-86.75,-73.75,-83.5,-81,Empty
-86.75,-73,-85.75,-81,Empty
-84.25,-73,-85.75,-81,Empty
-84.25,-72,-84.5,-80.75,Empty
-81.5,-72,-84.5,-80.75,Empty
-81.5,-76.75,-84,-80.5,Empty
-83,-76.75,-84,-80.5,Empty
-83,-78.75,-82.67,-80.25,Empty
-84.5,-78.75,-82.67,-80.25,Empty
-84.5,-80.25,-79.67,-80,Empty
-85.5,-80.25,-79.67,-80,Empty
-85.5,-81.75,-78.67,-80,Empty
-88.5,-81.75,-78.67,-80,Empty
-88.5,-76.75,-78.5,-80,Empty
-89.5,-76.75,-78.5,-80,Empty
-89.5,-76.25,-77.33,-84.78788429,Empty
-91.25,-76.25,-78.75,-84.78788429,Empty
-91.25,-75.75,-79.33,-81,Empty
-92.5,-75.75,-81,-81,Empty
-92.5,-74.25,-82.33,-81,Empty
-89.25,-74.25,-84.25,-81,Empty
-89.25,-73.25,-86.33,-81,Empty
-86.75,-73.25,-86.25,-81,Empty
-86.75,-72,-86.25,-81,Empty
-87.75,-72,-87.33,-81,Empty
-87.75,-77.25,-87.33,-80.75,Empty
-86.67,-77.25,-88,-80.75,Empty
-86.67,-79.5,-88,-80.75,Empty
-88.67,-79.5,-86,-80.75,Empty
-88.67,-80.75,-86,-80.5,Empty
-90.67,-80.75,-82,-80.5,Empty
-90.67,-82.25,-82,-80.33,Empty
-87.67,-82.25,-80,-80.33,Empty
-87.67,-77.25,-80,-85.67,Empty
-87.67,-77.25,-79.33,-85.67,Empty
-87.67,-76,-79.33,-88,Empty
-89.33,-76,-78.75,-88,Empty
-89.33,-75.75,-78.75,-96,Empty
-90.5,-75.75,-82.25,-96,Empty
-90.5,-75.5,-82.25,-88.5,Empty
-92,-75.5,-84,-88.5,Empty
-92,-75.33,-84,-81,Empty
-86.5,-75.33,-86,-81,Empty
-86.5,-73.67,-86,-81,Empty
-81.5,-73.67,-88,-81,Empty
-81.5,-72.33,-88,-81,Empty
-82,-72.33,-84.25,-81,Empty
-82,-70.5,-84.25,-81,Empty
-82,-70.5,-83.5,-81,Empty
-82,-79,-83.5,-80.67,Empty
-84,-79,-82.25,-80.67,Empty
-84,-82.67,-82.25,-80.33,Empty
-85.33,-82.67,-80.25,-80.33,Empty
-85.33,-85.33,-80.25,-80,Empty
-86.67,-85.33,-79.25,-80,Empty
-86.67,-83,-79.25,-80,Empty
-88,-83,-78,-80,Empty
-88,-78,-78,-88,Empty
-89,-78,-79.5,-88,Empty
-89,-76.25,-79.5,-96,Empty
-90,-76.25,-80.33,-96,Empty
-92.25,-75.33,-80.33,-88.5,Empty
-94,-75.33,-83.33,-88.5,Empty
-93.25,-73.67,-83.33,-86,Empty
-93.67,-73.67,-86,-86,Empty
-90.5,-72,-86,-81.33,Empty
-90.33,-72,-84,-81.33,Empty
-88.25,-71,-84,-81.5,Empty
-88.25,-71,-84,-81.5,Empty
-83.75,-77,-84,-81.25,Empty
-83.75,-77,-83,-81.25,Empty
-82.75,-78.5,-83,-81,Empty
-82.75,-78.5,-81,-81,Empty
-84.25,-80,-81,-80.75,Empty
-84.25,-80,-78,-80.75,Empty
-85.5,-81.5,-78,-80.33,Empty
-85.5,-81.5,-77.5,-80.33,Empty
-87,-81,-77.5,-80.5,Empty
-87,-81,-77.33,-80.5,Empty
-88.25,-80.75,-77.33,-81,Empty
-88.25,-80.75,-79.5,-81,Empty
-89.25,-80.5,-79.5,-84.78788429,Empty
-89.25,-80.5,-81.25,-84.78788429,Empty
-90.75,-78.75,-81.25,-81,Empty
-90.75,-78.75,-83.5,-81,Empty
-89.5,-73.25,-83.5,-81,Empty
-89.5,-73.25,-85.75,-81,Empty
-86.75,-72,-85.75,-81.33,Empty
-86.75,-72,-84.75,-81.33,Empty
-84.25,-70.67,-84.75,-81.33,Empty
-84.25,-70.67,-83.75,-81.33,Empty
-81.25,-73,-83.75,-81,Empty
-81.25,-73,-82.75,-81,Empty
-82.5,-75,-82.75,-80.67,Empty
-82.5,-75,-80.5,-80.67,Empty
-83.75,-76.67,-80.5,-80,Empty
-83.75,-76.67,-79.25,-80,Empty
-85.25,-77,-79.25,-80,Empty
-85.25,-77,-78.25,-80,Empty
-88.25,-76.5,-78.25,-80,Empty
-88.25,-76.5,-77.25,-80,Empty
-89,-76,-77.25,-80,Empty
-89,-76,-78.75,-86.5,Empty
-90,-75.75,-78.75,-93,Empty
-90,-75.75,-81,-87,Empty
-88,-74.25,-81,-87,Empty
-88,-74.25,-83,-85,Empty
-84.33,-73.25,-83,-85,Empty
-84.33,-73.25,-85,-84,Empty
-81,-72.5,-85,-84,Empty
-81,-72.5,-84.75,-81,Empty
-81.25,-71.67,-84.75,-81,Empty
-81.25,-71.67,-83.5,-81,Empty
-82.75,-73.33,-83.5,-81,Empty
-82.75,-73.33,-82.5,-80.67,Empty
-83.75,-75.33,-82.5,-80.67,Empty
-83.75,-75.33,-80.25,-80.33,Empty
-85.75,-77,-80.25,-80.33,Empty
-85.75,-77,-79.25,-84.5,Empty
-87,-76.75,-79.25,-84.5,Empty
-87,-76.75,-78.25,-85.67,Empty
-87.75,-76,-78.25,-85.67,Empty
-87.75,-76,-77.25,-91.67,Empty
-89,-75.5,-77.25,-91.67,Empty
-89,-75.5,-78.25,-97.5,Empty
-90,-75,-78.25,-97.5,Empty
-90,-75,-79.75,-89.5,Empty
-88.75,-74.67,-79.75,-89.5,Empty
-88.75,-74.67,-82,-89.5,Empty
-87,-73.67,-82,-89.5,Empty
-87,-73.67,-83,-81,Empty
-84.75,-73,-83,-81,Empty
-84.75,-73,-83,-81,Empty
-82.25,-71,-83,-81,Empty
-82.25,-71,-82.25,-80.67,Empty
-84.75,-73,-82.25,-80.67,Empty
-84.75,-73,-81,-80.5,Empty
-86,-77,-81,-80.5,Empty
-86,-77,-80,-80.33,Empty
-87.5,-77.25,-80,-80.33,Empty
-87.5,-77.25,-79,-85,Empty
-90,-78.5,-79,-85,Empty
-90,-78.5,-78,-87.5,Empty
-90,-78,-78,-87.5,Empty
-90,-78,-79.25,-96,Empty
-90.67,-75.75,-79.25,-96,Empty
-90.67,-75.75,-81.25,-96,Empty
-92.33,-75,-81.25,-96,Empty
-92.33,-75,-83.25,-91.67,Empty
-89,-73.75,-83.25,-91.67,Empty
-89,-73.75,-85.25,-89,Empty
-85.67,-72.75,-85.25,-89,Empty
-85.67,-72.75,-84.25,-85,Empty
-84.75,-72,-84.25,-85,Empty
-84.75,-72,-83.25,-81.33,Empty
-82,-71,-83.25,-81.33,Empty
-82,-71,-82.25,-86.33,Empty
-82,-72,-82.25,-86.33,Empty
-82,-72,-80.25,-92,Empty
-85.5,-73.5,-80.25,-92,Empty
-85.5,-73.5,-79,-91.67,Empty
-88,-75.25,-79,-91.67,Empty
-88,-75.25,-78.25,-92.75,Empty
-89.33,-76.25,-78.25,-92.75,Empty
-89.33,-76.25,-77.5,-91.33,Empty
-89.75,-76.25,-77.5,-91.33,Empty
-89.75,-76.25,-82.75,-88,Empty
-90.25,-75.75,-82.75,-88,Empty
-90.25,-75.75,-84.75,-88.5,Empty
-88.75,-75.25,-84.75,-88.5,Empty
-88.75,-75.25,-86.75,-81,Empty
-86,-74.25,-86.75,-81,Empty
-86,-74.25,-87.5,-81,Empty
-83.75,-73.25,-87.5,-81,Empty
-83.75,-73.25,-83.5,-81,Empty
-81.5,-72,-83.5,-81,Empty
-81.5,-72,-82.75,-81,Empty
-83,-72.5,-82.75,-81,Empty
-83,-72.5,-81.67,-80.67,Empty
-84.75,-74,-81.67,-80.67,Empty
-84.75,-74,-80.33,-80.33,Empty
-86.25,-75,-80.33,-80.33,Empty
-86.25,-75,-78.67,-86,Empty
-87.75,-77.33,-78.67,-86,Empty
-87.75,-77.33,-77,-86,Empty
-89,-76.33,-77,-86,Empty
-89,-76.33,-79,-91.67,Empty
-90,-75.67,-79,-91.67,Empty
-90,-75.67,-80.5,-97.5,Empty
-90.67,-75.67,-80.5,-97.5,Empty
-90.67,-75.75,-82.25,-89,Empty
-88.67,-75.33,-82.25,-89,Empty
-88.67,-74.25,-84.25,-86.33,Empty
-85.33,-73,-84.25,-86.33,Empty
-85.33,-73,-83.5,-81.33,Empty
-82,-72.33,-83.5,-81.33,Empty
-82,-72.33,-83.25,-81,Empty
-82,-72.33,-83.25,-81,Empty
-82,-70.67,-83,-80.75,Empty
-82,-73.25,-83,-80.75,Empty
-82,-74,-80.75,-80.67,Empty
-83.33,-76,-80.75,-80.67,Empty
-83.33,-76.33,-79.5,-86.33,Empty
-85.33,-76.33,-79.5,-86.33,Empty
-85.33,-76.75,-78,-89.5,Empty
-88.33,-76.75,-78,-89.5,Empty
-88.33,-82.75,-77,-99,Empty
-89.25,-83.33,-77,-99,Empty
-89.25,-81,-79.25,-99,Empty
-90.5,-81,-79.25,-99,Empty
-90.5,-80.75,-81.25,-90,Empty
-91.33,-80.75,-81.25,-90,Empty
-91.33,-80.25,-83,-87.33,Empty
-88.33,-80.25,-83.25,-87.33,Empty
-88.33,-74.25,-84.67,-81.33,Empty
-84.67,-74.25,-84.67,-81.33,Empty
-84.67,-73.5,-84.5,-81.25,Empty
-81.33,-73,-83.67,-81.25,Empty
-81.33,-72.25,-83,-81.33,Empty
-81.33,-72.25,-83,-81.33,Empty
-81.33,-71,-83,-80.67,Empty
-83,-71,-82,-80.67,Empty
-83,-73.33,-82,-80.33,Empty
-84,-73.33,-80.75,-80.33,Empty
-84,-75.33,-80.75,-80,Empty
-87.5,-77.33,-79.75,-80,Empty
-87.5,-77.33,-79.75,-83.5,Empty
-88.67,-77.33,-78.25,-83.5,Empty
-88.67,-76.75,-78.25,-84.67,Empty
-90.33,-76.75,-77.5,-84.67,Empty
-90.33,-76,-77.5,-87,Empty
-90.75,-75.8,-79.75,-87,Empty
-90.75,-75.5,-79.75,-87.5,Empty
-89.25,-75,-81.5,-87.5,Empty
-89.25,-75,-81.5,-81,Empty
-86.75,-75,-84.5,-81,Empty
-86.75,-74,-84.5,-81,Empty
-84.25,-74,-86.5,-81,Empty
-84.25,-73,-86.5,-81,Empty
-81.75,-72.25,-85.5,-81,Empty
-81.75,-72.25,-85.5,-80.75,Empty
-83.25,-71.33,-84.5,-80.75,Empty
-83.25,-71.25,-84.5,-80.5,Empty
-85,-71.25,-82.75,-80.5,Empty
-85,-73.25,-82.75,-80.25,Empty
-86.5,-73.25,-80.5,-80.25,Empty
-86.5,-78.75,-80.5,-80,Empty
-88,-81,-79.5,-80,Empty
-89.75,-84.75,-79.5,-80,Empty
-90.25,-84.75,-78.5,-80,Empty
-90.25,-85.75,-78.5,-80,Empty
-91,-85.75,-77.5,-80,Empty
-91,-84.75,-77.5,-84.78788429,Empty
-92,-84.75,-79.75,-84.78788429,Empty
-92,-80.25,-79.75,-81,Empty
-92,-80.25,-81.5,-81,Empty
-88.5,-74,-81.5,-81,Empty
-88,-74,-83.5,-81,Empty
-86.5,-73,-83.5,-87.33,Empty
-86.5,-73,-85.33,-87.33,Empty
-84.25,-73.25,-85.33,-85.75,Empty
-84.25,-73.25,-84,-85.75,Empty
